step 0: train loss 0.9465, val loss 0.8862
iter 0: loss 0.9124, time 12101.10ms, mfu -100.00%
iter 10: loss 1.4248, time 4189.56ms, mfu 0.06%
iter 20: loss 1.2567, time 4229.07ms, mfu 0.06%
iter 30: loss 0.7008, time 4255.74ms, mfu 0.06%
iter 40: loss 0.5713, time 4551.11ms, mfu 0.06%
iter 50: loss 0.7660, time 4586.23ms, mfu 0.06%
iter 60: loss 1.2548, time 4455.15ms, mfu 0.06%
iter 70: loss 0.7160, time 4433.10ms, mfu 0.06%
iter 80: loss 0.5788, time 4450.82ms, mfu 0.06%
iter 90: loss 0.6512, time 4431.45ms, mfu 0.06%
iter 100: loss 0.7330, time 4472.95ms, mfu 0.06%
iter 110: loss 1.1129, time 4443.65ms, mfu 0.06%
iter 120: loss 0.7353, time 4426.13ms, mfu 0.06%
iter 130: loss 0.7011, time 4473.38ms, mfu 0.06%
iter 140: loss 0.5709, time 4465.78ms, mfu 0.05%
iter 150: loss 0.6854, time 4478.51ms, mfu 0.05%
iter 160: loss 1.2780, time 4478.18ms, mfu 0.05%
iter 170: loss 0.8286, time 4553.42ms, mfu 0.05%
iter 180: loss 0.8447, time 4484.58ms, mfu 0.05%
iter 190: loss 0.8876, time 4513.68ms, mfu 0.05%
iter 200: loss 0.7429, time 4495.48ms, mfu 0.05%
iter 210: loss 0.7953, time 4473.54ms, mfu 0.05%
iter 220: loss 0.6561, time 4498.95ms, mfu 0.05%
iter 230: loss 0.7676, time 4497.73ms, mfu 0.05%
iter 240: loss 0.8560, time 4503.81ms, mfu 0.05%
iter 250: loss 0.8637, time 4606.25ms, mfu 0.05%
iter 260: loss 0.6762, time 4843.57ms, mfu 0.05%
iter 270: loss 0.9453, time 4709.73ms, mfu 0.05%
iter 280: loss 0.5379, time 4770.27ms, mfu 0.05%
iter 290: loss 0.9828, time 4614.81ms, mfu 0.05%
iter 300: loss 0.6916, time 4574.74ms, mfu 0.05%
iter 310: loss 0.6672, time 4629.88ms, mfu 0.05%
iter 320: loss 0.7204, time 4649.98ms, mfu 0.05%
